[2025-03-26 02:01:52,478] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.075s: similarity=0.0050
[2025-03-26 02:01:52,478] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,559] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.079s: similarity=0.0050
[2025-03-26 02:01:52,560] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,642] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.081s: similarity=0.0360
[2025-03-26 02:01:52,643] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,719] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.076s: similarity=0.0000
[2025-03-26 02:01:52,720] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,794] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.074s: similarity=0.0100
[2025-03-26 02:01:52,795] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,868] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.073s: similarity=0.0225
[2025-03-26 02:01:52,871] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,932] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.061s: similarity=0.0239
[2025-03-26 02:01:52,933] [INFO] apps.images.services.detection_service: Top ORB similarities: [{'image_id': 12, 'similarity': 0.044}, {'image_id': 10, 'similarity': 0.036}, {'image_id': 18, 'similarity': 0.036}, {'image_id': 1, 'similarity': 0.033707865168539325}, {'image_id': 11, 'similarity': 0.032}, {'image_id': 8, 'similarity': 0.032}, {'image_id': 6, 'similarity': 0.03}, {'image_id': 15, 'similarity': 0.03}, {'image_id': 5, 'similarity': 0.029015544041450778}, {'image_id': 3, 'similarity': 0.026}]
[2025-03-26 02:01:52,933] [INFO] apps.images.services.detection_service: No similar images found using ORB features
[2025-03-26 02:01:52,934] [INFO] apps.images.services.detection_service: Image similarity verification completed in 13.169s: No similar images found
[2025-03-26 02:01:53,329] [INFO] apps.images.services.detection_service: Starting ORB feature extraction
[2025-03-26 02:01:53,352] [INFO] apps.images.services.detection_service: ORB feature extraction completed in 0.023s: 1000 keypoints extracted
[2025-03-26 02:01:53,353] [INFO] apps.images.services.detection_service: Starting SIFT feature extraction
[2025-03-26 02:01:53,512] [INFO] apps.images.services.detection_service: SIFT feature extraction completed in 0.159s: 1172 keypoints extracted
[2025-03-26 02:02:13,602] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 02:02:13,602] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 02:02:13,603] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.000s: 8826a991da...
[2025-03-26 02:02:13,608] [INFO] apps.images.services.detection_service: Starting image similarity verification
[2025-03-26 02:02:13,608] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 02:02:13,609] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 02:02:13,609] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.000s: 8826a991da...
[2025-03-26 02:02:13,610] [INFO] apps.images.services.detection_service: Image hash: 8826a991da...
